Total_Stops,dept_day,dept_month,dept_hour,dept_minute,arrival_hour,arrival_minute,duration_hours,duration_minutes,Route1,Route2,Route3,Route4,Air India,GoAir,IndiGo,Jet Airways,Multiple carriers,SpiceJet,Vistara,S_Chennai,S_Delhi,S_Kolkata,S_Mumbai,D_Delhi,D_New Delhi
1.0,27.0,3.0,20.0,30.0,8.0,15.0,11.0,45.0,10423.325172811059,7622.117722168129,10022.279684418147,8405.891810048177,1,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1.0,5.0,17.0,0.0,19.0,10.0,2.0,10.0,9145.94187062937,11185.838834951457,10476.666666666666,8405.891810048177,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,27.0,6.0,9.0,15.0,1.0,30.0,16.0,15.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,6.0,5.0,22.0,20.0,0.0,40.0,2.0,20.0,9145.94187062937,4587.670668953688,5040.789605734767,8405.891810048177,0,0,0,0,0,1,0,0,0,1,0,0,0
0.0,24.0,3.0,13.0,0.0,15.0,50.0,2.0,50.0,7830.586366262276,5566.1776315789475,5040.789605734767,8405.891810048177,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,6.0,5.0,14.0,35.0,15.0,20.0,0.0,45.0,9145.94187062937,7242.830930907875,10476.666666666666,8405.891810048177,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0,24.0,5.0,9.0,30.0,12.0,20.0,2.0,50.0,7830.586366262276,5566.1776315789475,5040.789605734767,8405.891810048177,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,15.0,6.0,11.0,40.0,1.0,30.0,13.0,50.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0,6.0,6.0,19.0,55.0,22.0,25.0,2.0,30.0,9145.94187062937,4587.670668953688,5040.789605734767,8405.891810048177,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,24.0,3.0,19.0,35.0,21.0,5.0,1.0,30.0,4984.555755395683,3958.2355289421157,5040.789605734767,8405.891810048177,0,0,0,1,0,0,0,0,0,0,1,0,0
1.0,27.0,3.0,6.0,40.0,19.0,15.0,12.0,35.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0,27.0,4.0,22.0,50.0,1.0,20.0,2.0,30.0,9145.94187062937,4587.670668953688,5040.789605734767,8405.891810048177,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,9.0,5.0,7.0,5.0,16.0,10.0,9.0,5.0,10423.325172811059,7726.338495575221,10022.279684418147,8405.891810048177,0,0,0,0,1,0,0,0,1,0,0,0,0
1.0,24.0,5.0,14.0,5.0,9.0,20.0,19.0,15.0,9145.94187062937,11547.493003579564,10476.666666666666,8405.891810048177,0,0,0,1,0,0,0,0,0,1,0,0,0
0.0,24.0,6.0,7.0,55.0,10.0,15.0,2.0,20.0,4840.9105431317685,4840.9105431317685,5040.789605734767,8405.891810048177,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,15.0,5.0,7.0,0.0,19.0,15.0,12.0,15.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0,21.0,3.0,22.0,50.0,1.0,20.0,2.0,30.0,9145.94187062937,4587.670668953688,5040.789605734767,8405.891810048177,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,24.0,4.0,13.0,0.0,15.0,50.0,2.0,50.0,7830.586366262276,5566.1776315789475,5040.789605734767,8405.891810048177,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,24.0,5.0,8.0,25.0,18.0,15.0,9.0,50.0,9145.94187062937,11547.493003579564,10476.666666666666,8405.891810048177,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,3.0,6.0,14.0,55.0,22.0,30.0,7.0,35.0,10423.325172811059,7726.338495575221,10022.279684418147,8405.891810048177,0,0,0,0,1,0,0,0,1,0,0,0,0
1.0,24.0,5.0,15.0,55.0,21.0,25.0,5.0,30.0,9145.94187062937,9218.595317614745,10476.666666666666,8405.891810048177,0,0,0,0,0,1,0,0,0,1,0,0,0
1.0,27.0,6.0,11.0,30.0,19.0,0.0,7.0,30.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,1.0,3.0,11.0,40.0,21.0,20.0,9.0,40.0,7830.586366262276,11547.493003579564,13150.75550660793,8405.891810048177,0,0,0,1,0,0,0,0,0,0,0,0,1
1.0,12.0,6.0,20.0,45.0,7.0,10.0,10.0,25.0,10423.325172811059,7622.117722168129,10022.279684418147,8405.891810048177,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1.0,6.0,6.0,0.0,8.0,45.0,2.0,45.0,7830.586366262276,5566.1776315789475,5040.789605734767,8405.891810048177,0,0,0,1,0,0,0,0,0,0,0,1,0
1.0,1.0,6.0,7.0,55.0,22.0,25.0,14.0,30.0,10423.325172811059,7622.117722168129,10022.279684418147,8405.891810048177,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,9.0,6.0,9.0,20.0,14.0,15.0,4.0,55.0,9145.94187062937,9331.095754988219,10476.666666666666,8405.891810048177,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,15.0,5.0,18.0,55.0,16.0,20.0,21.0,25.0,9145.94187062937,11547.493003579564,10476.666666666666,8405.891810048177,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,24.0,5.0,14.0,5.0,18.0,15.0,4.0,10.0,9145.94187062937,11547.493003579564,10476.666666666666,8405.891810048177,0,0,0,1,0,0,0,0,0,1,0,0,0
2.0,12.0,3.0,8.0,50.0,9.0,25.0,0.0,35.0,7830.586366262276,11547.493003579564,11349.489824238415,13321.039367546118,1,0,0,0,0,0,0,0,0,0,0,0,1
3.0,15.0,5.0,11.0,35.0,21.0,0.0,9.0,25.0,10423.325172811059,10893.55604222837,11573.260290530328,11155.152930622009,0,0,0,0,1,0,0,0,1,0,0,0,0
1.0,18.0,5.0,7.0,5.0,12.0,35.0,5.0,30.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,6.0,5.0,21.0,10.0,8.0,15.0,11.0,5.0,9145.94187062937,11547.493003579564,10476.666666666666,8405.891810048177,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,9.0,3.0,19.0,45.0,4.0,25.0,8.0,40.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,1,0,0,0,0,1,0,0,0,0
2.0,9.0,6.0,5.0,30.0,12.0,35.0,7.0,5.0,10423.325172811059,13549.375426763518,12895.761442441055,12694.574324324325,0,0,0,1,0,0,0,0,1,0,0,0,0
0.0,3.0,3.0,2.0,55.0,4.0,25.0,1.0,30.0,4984.555755395683,3958.2355289421157,5040.789605734767,8405.891810048177,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0,3.0,3.0,10.0,10.0,12.0,55.0,2.0,45.0,9145.94187062937,4587.670668953688,5040.789605734767,8405.891810048177,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,24.0,3.0,5.0,45.0,10.0,45.0,5.0,0.0,7830.586366262276,11547.493003579564,13150.75550660793,8405.891810048177,0,0,0,1,0,0,0,0,0,0,0,0,1
1.0,6.0,3.0,21.0,50.0,4.0,25.0,6.0,35.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,1,0,0,0,0,1,0,0,0,0
0.0,15.0,6.0,5.0,45.0,7.0,15.0,1.0,30.0,4984.555755395683,3958.2355289421157,5040.789605734767,8405.891810048177,0,0,0,0,0,1,0,0,0,0,1,0,0
2.0,21.0,3.0,7.0,35.0,21.0,20.0,13.0,45.0,10423.325172811059,7726.338495575221,9190.69188809863,12694.574324324325,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,1.0,3.0,17.0,0.0,19.0,45.0,2.0,45.0,7830.586366262276,5566.1776315789475,5040.789605734767,8405.891810048177,1,0,0,0,0,0,0,0,0,0,0,0,1
1.0,27.0,5.0,15.0,0.0,19.0,0.0,4.0,0.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,1,0,0,0,0,1,0,0,0,0
0.0,1.0,3.0,7.0,55.0,10.0,15.0,2.0,20.0,4840.9105431317685,4840.9105431317685,5040.789605734767,8405.891810048177,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,24.0,6.0,14.0,40.0,17.0,50.0,3.0,10.0,10423.325172811059,6341.458025827561,5040.789605734767,8405.891810048177,0,0,0,0,0,0,1,0,1,0,0,0,0
0.0,9.0,5.0,9.0,30.0,12.0,20.0,2.0,50.0,7830.586366262276,5566.1776315789475,5040.789605734767,8405.891810048177,0,0,0,0,0,1,0,0,0,0,0,1,0
2.0,9.0,6.0,10.0,55.0,19.0,15.0,8.0,20.0,10423.325172811059,11583.96257459684,12895.761442441055,12694.574324324325,1,0,0,0,0,0,0,0,1,0,0,0,0
1.0,15.0,6.0,7.0,0.0,12.0,55.0,5.0,55.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,1,0,0,0,0,0,0,1,0,0,0,0
2.0,9.0,6.0,5.0,50.0,20.0,25.0,14.0,35.0,9145.94187062937,10446.806733868285,13670.061501206623,11996.630704629295,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0,24.0,3.0,19.0,35.0,21.0,55.0,2.0,20.0,4840.9105431317685,4840.9105431317685,5040.789605734767,8405.891810048177,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,9.0,3.0,22.0,5.0,0.0,25.0,2.0,20.0,4840.9105431317685,4840.9105431317685,5040.789605734767,8405.891810048177,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,9.0,3.0,8.0,0.0,19.0,45.0,11.0,45.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0,27.0,5.0,8.0,20.0,10.0,35.0,2.0,15.0,4840.9105431317685,4840.9105431317685,5040.789605734767,8405.891810048177,0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,9.0,5.0,17.0,30.0,1.0,30.0,8.0,0.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,27.0,5.0,13.0,55.0,15.0,25.0,1.0,30.0,4984.555755395683,3958.2355289421157,5040.789605734767,8405.891810048177,1,0,0,0,0,0,0,0,0,0,1,0,0
0.0,21.0,5.0,14.0,15.0,16.0,45.0,2.0,30.0,9145.94187062937,4587.670668953688,5040.789605734767,8405.891810048177,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0,3.0,3.0,6.0,20.0,7.0,40.0,1.0,20.0,4984.555755395683,3958.2355289421157,5040.789605734767,8405.891810048177,1,0,0,0,0,0,0,0,0,0,1,0,0
0.0,3.0,3.0,5.0,10.0,8.0,0.0,2.0,50.0,10423.325172811059,6341.458025827561,5040.789605734767,8405.891810048177,1,0,0,0,0,0,0,0,1,0,0,0,0
1.0,9.0,5.0,6.0,5.0,9.0,25.0,3.0,20.0,10423.325172811059,7242.830930907875,10022.279684418147,8405.891810048177,1,0,0,0,0,0,0,0,1,0,0,0,0
1.0,9.0,4.0,11.0,25.0,1.0,30.0,14.0,5.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,1,0,0,0,0,0,1,0,0,0,0
1.0,12.0,6.0,14.0,5.0,18.0,15.0,4.0,10.0,9145.94187062937,11547.493003579564,10476.666666666666,8405.891810048177,0,0,0,1,0,0,0,0,0,1,0,0,0
2.0,12.0,6.0,19.0,30.0,4.0,25.0,8.0,55.0,10423.325172811059,12071.467781324163,12895.761442441055,12694.574324324325,0,0,0,1,0,0,0,0,1,0,0,0,0
2.0,24.0,6.0,14.0,35.0,4.0,25.0,13.0,50.0,10423.325172811059,10914.738074287883,12895.761442441055,12694.574324324325,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,6.0,6.0,9.0,50.0,21.0,5.0,11.0,15.0,9145.94187062937,10710.419324902614,10476.666666666666,8405.891810048177,1,0,0,0,0,0,0,0,0,1,0,0,0
1.0,15.0,5.0,11.0,55.0,22.0,30.0,10.0,35.0,10423.325172811059,7726.338495575221,10022.279684418147,8405.891810048177,0,0,1,0,0,0,0,0,1,0,0,0,0
1.0,27.0,3.0,15.0,5.0,4.0,25.0,13.0,20.0,10423.325172811059,11547.493003579564,10022.279684418147,8405.891810048177,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,18.0,5.0,16.0,10.0,22.0,30.0,6.0,20.0,10423.325172811059,7726.338495575221,10022.279684418147,8405.891810048177,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,12.0,5.0,6.0,0.0,8.0,45.0,2.0,45.0,7830.586366262276,5566.1776315789475,5040.789605734767,8405.891810048177,0,0,0,1,0,0,0,0,0,0,0,1,0
2.0,24.0,6.0,20.0,15.0,19.0,15.0,23.0,0.0,10423.325172811059,12838.427273546797,12895.761442441055,12694.574324324325,1,0,0,0,0,0,0,0,1,0,0,0,0
