Total_Stops,dept_day,dept_month,dept_hour,dept_minute,arrival_hour,arrival_minute,duration_hours,duration_minutes,Route1,Route2,Route3,Route4,Route5,Air India,GoAir,IndiGo,Jet Airways,Multiple carriers,SpiceJet,Vistara,S_Chennai,S_Delhi,S_Kolkata,S_Mumbai,D_Delhi,D_New Delhi
0.3333333333333333,1.0,0.0,0.8695652173913043,0.5454545454545454,0.34782608695652173,0.2727272727272727,0.4782608695652174,0.8181818181818181,1.0,0.32330484537623994,0.5772781457144001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.6666666666666665,0.7391304347826086,0.0,0.8260869565217391,0.18181818181818182,0.08695652173913043,0.18181818181818182,0.771177279561,0.6377713709273747,0.6299346140413462,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3333333333333333,1.0,1.0,0.3913043478260869,0.2727272727272727,0.043478260869565216,0.5454545454545454,0.6956521739130435,0.2727272727272727,1.0,0.6696841178175884,0.5772781457144001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.19230769230769232,0.6666666666666665,0.9565217391304348,0.36363636363636365,0.0,0.7272727272727273,0.08695652173913043,0.36363636363636365,0.771177279561,0.055542023428606424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.8846153846153847,0.0,0.5652173913043478,0.0,0.6521739130434783,0.9090909090909091,0.08695652173913043,0.9090909090909091,0.535552448439729,0.1418865142083674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3333333333333333,0.19230769230769232,0.6666666666666665,0.6086956521739131,0.6363636363636364,0.6521739130434783,0.36363636363636365,0.0,0.8181818181818181,0.771177279561,0.289836177189156,0.6299346140413462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.8846153846153847,0.6666666666666665,0.3913043478260869,0.5454545454545454,0.5217391304347826,0.36363636363636365,0.08695652173913043,0.9090909090909091,0.535552448439729,0.1418865142083674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3333333333333333,0.5384615384615385,1.0,0.4782608695652174,0.7272727272727273,0.043478260869565216,0.5454545454545454,0.5652173913043478,0.9090909090909091,1.0,0.6696841178175884,0.5772781457144001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.19230769230769232,1.0,0.8260869565217391,1.0,0.9565217391304348,0.45454545454545453,0.08695652173913043,0.5454545454545454,0.771177279561,0.055542023428606424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.8846153846153847,0.0,0.8260869565217391,0.6363636363636364,0.9130434782608695,0.09090909090909091,0.043478260869565216,0.5454545454545454,0.025731734704945608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
